ASF,FG,MN,ED,INV_LOG,ND,STD,Y
1,0,0,0,0.266023953,0,0.991271777,1
0,1,0,0,0.308792013,1,0,0
1,0,1,1,0.271956732,0,1,1
1,0,0,0,0.270991729,0,0,1
1,0,0,0,0.271220335,0,0,1
1,0,0,0,0.27104896,0,0.221192485,1
1,0,1,1,0.27142203,0,1,1
1,0,1,1,0.271741379,0,1,1
1,0,0,0,0.271437844,0,0.003554474,1
1,0,1,1,0.2716095,0,1,1
1,0,1,1,0.271211722,0,1,1
1,0,1,1,0.271427703,0,1,1
1,0,0.421840391,0.364163587,0.271208298,0,0.39655924,1
1,0,0,0,0.271385544,0,0,1
1,0,0,0,0.271334509,0,0.297434813,1
1,0,0.539823409,0.615738545,0.271603263,0,0,1
1,0,1,1,0.27110696,0,0.064377946,1
1,0,0,0,0.271079486,0,0,1
1,0,0,0,0.271095656,0,0,1
1,0,1,1,0.271130384,0,0.774895913,1
1,0,1,1,0.271362001,0,1,1
1,0,0.289953568,0.119581407,0.271019967,0,0.235394598,1
1,0,1,1,0.27146455,0,0.721139566,1
1,0,1,1,0.271523807,0,1,1
0,0,0,0,0.270974731,0,0,1
1,0,1,1,0.271345132,0,0.99005703,1
1,0,0.077180917,0,0.271454958,0,0.098417604,1
0,1,0,0,0.31032079,1,0,0
1,0,0,0,0.276997175,0,0,1
1,0,0.660533574,0.592403721,0.277432744,0,0.504932385,1
1,0,1,1,0.277297443,0,1,1
1,0,1,1,0.277753693,0,1,1
1,0,1,1,0.277688985,0,1,1
1,0,0.466429623,0.579976653,0.277607099,0,0.286902744,1
1,0,1,1,0.277339408,0,0.901478657,1
1,0,1,1,0.277661318,0,1,1
1,0,0.161714159,0.100623026,0.276854452,0,0.715148005,1
0,0,0,0,0.276755156,0,0,1
1,0,0.961702747,1,0.276749969,0,0.701525668,1
1,0,0,0,0.277099898,0,0,1
1,0,1,1,0.277425882,0,1,1
1,0,0,0,0.276950116,0,0,1
1,0,1,1,0.277398441,0,1,1
1,0,0,0,0.276983239,0,0,1
1,0,1,1,0.277232589,0,1,1
1,0,0.491121573,0.505201849,0.277455938,0,1,1
1,0,0.065522385,0.088846642,0.277601169,0,0.080186496,1
1,0,1,1,0.277391232,0,1,1
1,0,0.681814321,0.668107908,0.276993799,0,0.927730744,1
1,0,1,1,0.277221543,0,1,1
1,0,0.999586147,0.994990993,0.277466169,0,1,1
1,0,0,0,0.277365812,0,0.202622286,1
1,0,0,0,0.276957825,0,0,1
0,1,0,0,0.312601305,1,0,0
1,0,1,1,0.282013171,0,1,1
1,0,0.299447514,0.364482917,0.28162441,0,0.263321994,1
1,0,0,0,0.281167612,0,0,1
1,0,1,1,0.281977306,0,0.965053439,1
1,0,0,0,0.281363783,0,0,1
1,0,0,0,0.281128908,0,0,1
1,0,0.140877606,0.137948081,0.28166347,0,0.254827314,1
1,0,0,0.047495346,0.281952315,0,0.156150897,1
1,0,1,1,0.281767197,0,1,1
1,0,0,0,0.281841996,0,0.266564199,1
1,0,0,0,0.281629409,0,0,1
1,0,0,0,0.281724048,0,0,1
1,0,0.009313783,0,0.281493293,0,0,1
1,0,0,0,0.281795244,0,0,1
1,0,0,0,0.281183963,0,0,1
1,0,0.226232206,0.248272308,0.281942122,0,0,1
1,0,0,0,0.281267413,0,0,1
1,0,0,0,0.281735387,0,0,1
1,0,0,0,0.281598684,0,0,1
0,0,0,0,0.281651299,0,0,1
1,0,0,0,0.281684336,0,0,1
1,0,0,0,0.281540016,0,0,1
1,0,0,0,0.281566865,0,0,1
1,0,0,0,0.281715165,0,0,1
1,0,0.773170912,0.681136421,0.281701364,0,1,1
0,1,0,0,0.314609463,1,0,0
1,0,0,0,0.285393024,0,0,1
1,0,1,1,0.285755989,0,1,1
1,0,0,0,0.285445172,0,0.68240026,1
1,0,1,1,0.286053841,0,1,1
1,0,1,1,0.286008468,0,1,1
1,0,0.321249617,0.321283048,0.285573373,0,0.199169608,1
1,0,0.880419486,0.836686705,0.285828101,0,0.568253394,1
1,0,0,0,0.285689168,0,0,1
1,0,0,0,0.285987819,0,0,1
1,0,0,0,0.285707183,0,0.477960893,1
1,0,0,0,0.2858112,0,0.116093087,1
1,0,0,0,0.28588052,0,0.123458233,1
1,0,0,0,0.285948496,0,0.765693503,1
1,0,0.85473727,0.812608403,0.285672573,0,1,1
1,0,0,0,0.28566644,0,0.436634157,1
1,0,0,0,0.285450104,0,0,1
1,0,0.909812542,0.969937435,0.28559878,0,1,1
1,0,1,0.829576828,0.285766496,0,1,1
1,0,1,1,0.285802116,0,1,1
1,0,0.577108154,0.586702446,0.286000404,0,1,1
1,0,0,0,0.285557047,0,0.042189527,1
1,0,0,0,0.285572405,0,0,1
0,0,0,0,0.28556583,0,0,1
1,0,1,1,0.285757029,0,1,1
1,0,0.342897871,0.428140398,0.285762125,0,0.781627645,1
0,1,0,0,0.316708564,1,0,0
1,0,0,0,0.288945549,0,0,1
1,0,1,1,0.289358597,0,1,1
1,0,0.473911633,0.326178062,0.289179608,0,0.733100693,1
1,0,1,1,0.289459544,0,1,1
1,0,0.182193581,0.045954496,0.289147643,0,0.991692352,1
1,0,0.380268006,0.346603047,0.289195401,0,0.316344931,1
0,0,0,0,0.289102571,0,0,1
1,0,1,1,0.289272002,0,1,1
1,0,1,1,0.289529028,0,1,1
1,0,0.873004921,0.724522424,0.289469509,0,1,1
1,0,0,0,0.289158593,0,0,1
1,0,1,1,0.289307213,0,1,1
1,0,0.104095229,0,0.289515061,0,0.816343384,1
1,0,1,1,0.289369548,0,1,1
1,0,0.217923379,0,0.289122655,0,0,1
1,0,1,1,0.289147818,0,1,1
1,0,0.096933434,0.150567322,0.289386879,0,0.569412149,1
1,0,1,1,0.289548951,0,1,1
1,0,1,1,0.289425255,0,1,1
1,0,0.480367789,0.444734095,0.28898705,0,0.018442962,1
1,0,0,0,0.289202326,0,0.318941936,1
1,0,0.637589876,0.531430844,0.289165552,0,0.337159981,1
1,0,1,0.975240335,0.289251941,0,0.863779371,1
1,0,0.284471602,0.140414208,0.289497644,0,0.540734567,1
1,0,0,0,0.28926127,0,0,1
0,1,0,0,0.317904206,1,0,0
