ASF,FG,MN,ED,INV_LOG,ND,STD,SUM,SUM1,SUM5,SUM10,Diff1,avg5minusMe,avg10minusme,std5ofivlogdivMe,std10ofivlogdivMe,Y
1,0,1,1,0.240060571,1,0.458453682,4.698514253,7.268153929,42.83461702,385.3914038,2.128874577,-0.300578578,-0.460038795,0.000856252,0.001668866,1
1,0,0.084294294,0.244916927,0.240428455,1,0,2.569639676,7.81015409,44.36100683,373.2690405,-2.670874738,1.599348052,1.497631352,0.000420889,0.001636993,1
1,0,1,1,0.240514414,1,1,5.240514414,10.48111397,44.23005873,359.8747365,-8.51E-05,-0.537300777,-1.306200397,0.000559859,0.001648906,1
1,0,1,1,0.240599553,1,1,5.240599553,9.481010034,40.4970951,348.0081149,1.000189072,-1.097801445,-1.419334964,0.001931452,0.001613789,1
1,0,1,1,0.240410481,1,0,4.240410481,7.794184998,40.17818077,339.331818,0.686635964,-0.283789569,-0.719136244,0.002216375,0.00166018,1
1,0,0.540555432,0.772579762,0.240639323,1,0,3.553774517,8.794543739,40.22284784,328.1263809,-1.686994705,0.525240724,0.058642668,0.002196422,0.001693974,1
1,0,1,1,0.240769222,1,1,5.240769222,7.679205988,35.65484362,317.302569,2.802332456,-1.275214895,-1.759676258,0.00192767,0.00165348,1
1,0,0.198830742,0,0.239606024,1,0,2.438436766,6.748150338,33.32572733,313.390819,-1.871276806,0.72697763,0.74262492,0.001107885,0.001520392,1
1,0,1,1,0.239724582,1,0.06998899,4.309713572,9.162095702,32.92829316,309.7805594,-0.542668558,-0.809982502,-0.921858817,0.001013065,0.00143241,1
1,0,1,1,0.240017011,1,0.612365119,4.85238213,7.838852077,31.15873346,305.1980866,1.865912183,-1.766454568,-1.765327745,0.001125938,0.080924492,1
1,0,0.451923594,0.294288037,0.240258316,1,0,2.986469947,4.226539511,30.71225365,303.7110533,1.746400383,0.159349182,-0.06037662,0.0010217,0.080349304,1
0,0,0,0,0.240069564,1,0,1.240069564,5.350089701,30.96670289,301.2631679,-2.869950573,1.756562037,1.844966067,0.001002015,0.079753336,1
1,0,0.683432527,1,0.240351683,1,0.186235927,4.110020137,6.35071617,32.36343708,296.7534194,1.869324104,-0.91331116,-0.924076119,0.000528134,0.078748193,1
1,0,0,0,0.240696033,1,0,2.240696033,7.392535999,31.82079824,289.8856239,-2.911143933,1.035282407,0.781250432,0.001593835,0.077574469,1
1,0,1,1,0.240551212,1,0.911288754,5.151839966,7.39237227,28.97274367,282.2435997,2.911307662,-2.063658757,-2.157124577,0.114147859,0.076418594,1
1,0,0,0,0.240532304,1,0,2.240532304,4.480988747,29.39903593,275.8054278,7.59E-05,0.465835221,0.629196694,0.111278183,0.074962751,1
1,0,0,0,0.240456443,1,0,2.240456443,6.746823895,31.7430936,269.3955854,-2.265911009,0.932983217,0.656154978,0.107704706,0.073271716,1
1,0,1,1,0.239723371,1,0.266644081,4.506367452,5.808077331,29.71546775,262.5794978,3.204657573,-1.331188393,-1.582974072,0.103672171,0.07147223,1
